 city_id,  city_name,  country_code,  lat,  lon,  cloudness,  wind_speed,  Max_temperature,  humidity,  date   
 3874787,  Punta  Arenas,  CL,                  -53.16,  -70.91,                    0,  33.33,  55.4,                47,  1545512400   
 3652764,  Puerto  Ayora,  EC,                  -0.74,  -90.35,                    75,  16.11,  80.6,                74,  1545512400   
 3874787,  Punta  Arenas,  CL,                  -53.16,  -70.91,                    0,  33.33,  55.4,                47,  1545512400   
 934322,  Mahebourg,  MU,                  -20.41,  57.7,                    75,  17.22,  78.8,                83,  1545512400   
 2636790,  Stornoway,  GB,                  58.21,  -6.39,                    20,  6.93,  35.6,                93,  1545513600   
 1267390,  Kavaratti,  IN,                  10.57,  72.64,                    0,  5.14,  82.75,                100,  1545515706   
 3421719,  Narsaq,  GL,                  60.91,  -46.05,                    88,  2.57,  17.59,                78,  1545515708   
 4732862,  Nome,  US,                  30.04,  -94.42,                    1,  18.34,  76.1,                54,  1545514500   
 2110227,  Butaritari,  KI,                  3.07,  172.79,                    68,  4.7,  81.71,                100,  1545515712   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 6170031,  Tuktoyaktuk,  CA,                  69.44,  -133.03,                    90,  3.36,  1.4,                84,  1545512400   
 5959271,  Gambo,  CA,                  48.78,  -54.21,                    90,  20.8,  37.4,                64,  1545512400   
 3370903,  Jamestown,  SH,                  -15.94,  -5.72,                    92,  13.65,  71.09,                100,  1545515723   
 3418910,  Upernavik,  GL,                  72.79,  -56.15,                    32,  10.4,  -2.44,                100,  1545515725   
 5855927,  Hilo,  US,                  19.71,  -155.08,                    90,  8.05,  75.02,                78,  1545511980   
 3372472,  Vila  Franca  do  Campo,  PT,                  37.72,  -25.43,                    75,  13.87,  62.6,                100,  1545512400   
 4034551,  Faanui,  PF,                  -16.48,  -151.75,                    44,  19.01,  84.28,                98,  1545515731   
 4407665,  Kodiak,  US,                  39.95,  -94.76,                    75,  11.41,  46.04,                45,  1545513300   
 3370903,  Jamestown,  SH,                  -15.94,  -5.72,                    92,  13.65,  71.09,                100,  1545515723   
